KELOMPOK UMUR,TAHUN,L,P,JUMLAH PENDERITA HIV,PROPORSI KELOMPOK UMUR,KETERANGAN
4 TAHUN,2016,1,1,2,3.23,rendah
5 - 14 TAHUN,2016,0,1,1,0.68,rendah
15 - 19 TAHUN,2016,2,0,2,3.23,rendah
20 - 24 TAHUN,2016,7,6,13,20.97,tinggi
25 - 49 TAHUN,2016,29,16,45,72.58,sangat tinggi
50 TAHUN,2016,0,1,1,0.68,rendah
4 TAHUN,2017,1,0,1,0.68,rendah
5 - 14 TAHUN,2017,0,1,1,1.02,rendah
15 - 19 TAHUN,2017,1,1,2,2.04,rendah
20 - 24 TAHUN,2017,17,10,27,27.55,tinggi
25 - 49 TAHUN,2017,47,21,68,69.39,sangat tinggi
50 TAHUN,2017,1,0,1,0.68,rendah
4 TAHUN,2018,2,4,6,3.87,rendah
5 - 14 TAHUN,2018,0,2,2,1.29,rendah
15 - 19 TAHUN,2018,4,1,5,3.23,rendah
20 - 24 TAHUN,2018,18,9,27,17.42,sedang
25 - 49 TAHUN,2018,76,33,109,70.32,sangat tinggi
50 TAHUN,2018,3,3,6,3.87,rendah
4 TAHUN,2019,3,1,4,2.72,rendah
5 - 14 TAHUN,2019,1,0,1,0.68,rendah
15 - 19 TAHUN,2019,4,1,5,3.4,rendah
20 - 24 TAHUN,2019,13,6,19,12.93,sedang
25 - 49 TAHUN,2019,64,50,114,77.55,sangat tinggi
50 TAHUN,2019,3,1,4,2.72,rendah
4 TAHUN,2020,2,0,2,1.6,rendah
5 - 14 TAHUN,2020,1,1,2,1.6,rendah
15 - 19 TAHUN,2020,4,4,8,6.4,sedang
20 - 24 TAHUN,2020,13,6,19,15.2,sedang
25 - 49 TAHUN,2020,58,33,91,72.8,sangat tinggi
50 TAHUN,2020,3,0,3,2.4,rendah
